0.0;0.0;*
0.02;]0.0, 642920.64];*
0.03;]0.0, 642920.64];*
0.04;]0.0, 642920.64];*
0.6;]0.0, 642920.64];*
3.0;]0.0, 642920.64];*
4.0;]0.0, 642920.64];*
4.7;]0.0, 642920.64];*
5.0;]0.0, 642920.64];*
8.0;]0.0, 642920.64];*
9.0;]0.0, 642920.64];*
10.0;]0.0, 642920.64];*
11.0;]0.0, 642920.64];*
13.0;]0.0, 642920.64];*
14.6;]0.0, 642920.64];*
16.0;]0.0, 642920.64];*
17.0;]0.0, 642920.64];*
20.0;]0.0, 642920.64];*
20.1;]0.0, 642920.64];*
21.0;]0.0, 642920.64];*
23.0;]0.0, 642920.64];*
24.0;]0.0, 642920.64];*
25.0;]0.0, 642920.64];*
26.0;]0.0, 642920.64];*
30.0;]0.0, 642920.64];*
31.0;]0.0, 642920.64];*
32.0;]0.0, 642920.64];*
34.0;]0.0, 642920.64];*
35.0;]0.0, 642920.64];*
38.0;]0.0, 642920.64];*
39.0;]0.0, 642920.64];*
40.0;]0.0, 642920.64];*
42.0;]0.0, 642920.64];*
45.0;]0.0, 642920.64];*
48.0;]0.0, 642920.64];*
50.0;]0.0, 642920.64];*
51.0;]0.0, 642920.64];*
53.0;]0.0, 642920.64];*
54.0;]0.0, 642920.64];*
56.0;]0.0, 642920.64];*
56.2;]0.0, 642920.64];*
58.5;]0.0, 642920.64];*
59.0;]0.0, 642920.64];*
60.0;]0.0, 642920.64];*
61.0;]0.0, 642920.64];*
62.0;]0.0, 642920.64];*
64.0;]0.0, 642920.64];*
68.0;]0.0, 642920.64];*
69.0;]0.0, 642920.64];*
70.0;]0.0, 642920.64];*
71.0;]0.0, 642920.64];*
72.0;]0.0, 642920.64];*
74.0;]0.0, 642920.64];*
75.0;]0.0, 642920.64];*
76.0;]0.0, 642920.64];*
78.0;]0.0, 642920.64];*
79.0;]0.0, 642920.64];*
80.0;]0.0, 642920.64];*
83.5;]0.0, 642920.64];*
90.0;]0.0, 642920.64];*
91.0;]0.0, 642920.64];*
93.0;]0.0, 642920.64];*
96.0;]0.0, 642920.64];*
97.0;]0.0, 642920.64];*
99.0;]0.0, 642920.64];*
101.0;]0.0, 642920.64];*
101.5;]0.0, 642920.64];*
103.6;]0.0, 642920.64];*
104.0;]0.0, 642920.64];*
107.0;]0.0, 642920.64];*
108.7;]0.0, 642920.64];*
109.0;]0.0, 642920.64];*
112.0;]0.0, 642920.64];*
113.0;]0.0, 642920.64];*
114.0;]0.0, 642920.64];*
115.0;]0.0, 642920.64];*
116.0;]0.0, 642920.64];*
118.0;]0.0, 642920.64];*
120.0;]0.0, 642920.64];*
121.0;]0.0, 642920.64];*
124.0;]0.0, 642920.64];*
124.5;]0.0, 642920.64];*
127.0;]0.0, 642920.64];*
128.0;]0.0, 642920.64];*
132.0;]0.0, 642920.64];*
133.0;]0.0, 642920.64];*
135.0;]0.0, 642920.64];*
136.0;]0.0, 642920.64];*
138.0;]0.0, 642920.64];*
138.4;]0.0, 642920.64];*
140.0;]0.0, 642920.64];*
144.0;]0.0, 642920.64];*
14.65;]0.0, 642920.64];*
148.0;]0.0, 642920.64];*
149.0;]0.0, 642920.64];*
153.0;]0.0, 642920.64];*
154.0;]0.0, 642920.64];*
155.0;]0.0, 642920.64];*
155.3;]0.0, 642920.64];*
160.0;]0.0, 642920.64];*
161.0;]0.0, 642920.64];*
163.0;]0.0, 642920.64];*
164.5;]0.0, 642920.64];*
165.5;]0.0, 642920.64];*
166.0;]0.0, 642920.64];*
168.5;]0.0, 642920.64];*
171.0;]0.0, 642920.64];*
172.0;]0.0, 642920.64];*
174.1;]0.0, 642920.64];*
177.0;]0.0, 642920.64];*
179.0;]0.0, 642920.64];*
184.0;]0.0, 642920.64];*
185.0;]0.0, 642920.64];*
187.0;]0.0, 642920.64];*
190.0;]0.0, 642920.64];*
191.0;]0.0, 642920.64];*
192.0;]0.0, 642920.64];*
195.0;]0.0, 642920.64];*
196.0;]0.0, 642920.64];*
197.0;]0.0, 642920.64];*
198.0;]0.0, 642920.64];*
199.0;]0.0, 642920.64];*
200.0;]0.0, 642920.64];*
202.0;]0.0, 642920.64];*
202.5;]0.0, 642920.64];*
206.5;]0.0, 642920.64];*
210.0;]0.0, 642920.64];*
215.3;]0.0, 642920.64];*
217.0;]0.0, 642920.64];*
220.5;]0.0, 642920.64];*
221.0;]0.0, 642920.64];*
222.0;]0.0, 642920.64];*
223.0;]0.0, 642920.64];*
225.0;]0.0, 642920.64];*
226.0;]0.0, 642920.64];*
226.5;]0.0, 642920.64];*
226.8;]0.0, 642920.64];*
231.0;]0.0, 642920.64];*
232.0;]0.0, 642920.64];*
233.0;]0.0, 642920.64];*
234.0;]0.0, 642920.64];*
235.0;]0.0, 642920.64];*
236.0;]0.0, 642920.64];*
24.15;]0.0, 642920.64];*
247.0;]0.0, 642920.64];*
248.0;]0.0, 642920.64];*
248.5;]0.0, 642920.64];*
24.85;]0.0, 642920.64];*
249.0;]0.0, 642920.64];*
256.0;]0.0, 642920.64];*
261.0;]0.0, 642920.64];*
27.05;]0.0, 642920.64];*
271.0;]0.0, 642920.64];*
272.0;]0.0, 642920.64];*
276.5;]0.0, 642920.64];*
280.0;]0.0, 642920.64];*
293.0;]0.0, 642920.64];*
294.0;]0.0, 642920.64];*
294.5;]0.0, 642920.64];*
296.0;]0.0, 642920.64];*
298.0;]0.0, 642920.64];*
299.0;]0.0, 642920.64];*
303.0;]0.0, 642920.64];*
303.2;]0.0, 642920.64];*
307.0;]0.0, 642920.64];*
309.0;]0.0, 642920.64];*
311.0;]0.0, 642920.64];*
312.5;]0.0, 642920.64];*
319.0;]0.0, 642920.64];*
323.0;]0.0, 642920.64];*
332.0;]0.0, 642920.64];*
333.0;]0.0, 642920.64];*
336.0;]0.0, 642920.64];*
340.0;]0.0, 642920.64];*
358.0;]0.0, 642920.64];*
372.0;]0.0, 642920.64];*
389.0;]0.0, 642920.64];*
395.0;]0.0, 642920.64];*
398.0;]0.0, 642920.64];*
400.0;]0.0, 642920.64];*
401.0;]0.0, 642920.64];*
404.9;]0.0, 642920.64];*
442.0;]0.0, 642920.64];*
445.0;]0.0, 642920.64];*
466.0;]0.0, 642920.64];*
483.0;]0.0, 642920.64];*
486.5;]0.0, 642920.64];*
497.0;]0.0, 642920.64];*
498.0;]0.0, 642920.64];*
499.0;]0.0, 642920.64];*
500.0;]0.0, 642920.64];*
502.0;]0.0, 642920.64];*
509.0;]0.0, 642920.64];*
512.5;]0.0, 642920.64];*
518.0;]0.0, 642920.64];*
519.0;]0.0, 642920.64];*
527.0;]0.0, 642920.64];*
540.0;]0.0, 642920.64];*
549.0;]0.0, 642920.64];*
560.0;]0.0, 642920.64];*
582.0;]0.0, 642920.64];*
592.0;]0.0, 642920.64];*
596.0;]0.0, 642920.64];*
603.0;]0.0, 642920.64];*
651.0;]0.0, 642920.64];*
672.0;]0.0, 642920.64];*
680.0;]0.0, 642920.64];*
694.5;]0.0, 642920.64];*
769.5;]0.0, 642920.64];*
802.0;]0.0, 642920.64];*
807.0;]0.0, 642920.64];*
895.5;]0.0, 642920.64];*
92.05;]0.0, 642920.64];*
995.0;]0.0, 642920.64];*
999.1;]0.0, 642920.64];*
1014.5;]0.0, 642920.64];*
